,m2_construit,nb_pieces,prix_achat,prix_achat_m2,travaux_necessaire,jardin,piscine,terrace,balcon,salle_rangement,espace_vert,parking,num_quartier,type_appartement,type_duplex,type_maison,type_penthouse,nom_quartier
271,59,2,126900,2151,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
272,95,3,199000,2095,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
273,65,2,232000,3569,False,False,False,False,False,True,False,True,21,True,False,False,False,Barajas
274,69,2,240000,3478,False,False,True,False,False,False,False,False,21,True,False,False,False,Barajas
275,115,4,330000,2870,False,False,False,False,False,True,True,False,21,True,False,False,False,Barajas
276,60,3,120000,2000,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
277,90,3,172000,1911,False,False,False,False,False,True,True,True,21,True,False,False,False,Barajas
278,60,3,82260,1371,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
279,65,2,109000,1677,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
280,115,4,133000,1157,False,False,False,True,False,True,True,False,21,True,False,False,False,Barajas
281,83,3,111000,1337,True,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
282,55,2,110000,2000,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
283,80,2,179990,2250,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
284,68,3,156000,2294,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
285,89,2,228000,2562,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
286,61,3,89000,1459,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
287,67,3,119000,1776,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
288,68,3,94000,1382,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
289,92,3,175000,1902,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
290,70,3,90000,1286,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
291,63,3,167000,2651,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
292,57,3,96000,1684,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
293,63,3,84000,1333,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
294,52,2,101000,1942,True,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
295,125,3,210000,1680,False,False,False,False,False,True,True,True,21,True,False,False,False,Barajas
296,125,3,275000,2200,False,False,True,True,False,True,False,False,21,False,True,False,False,Barajas
297,75,3,131400,1752,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
298,71,3,131400,1851,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
299,80,3,95000,1188,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
300,66,3,93000,1409,False,False,False,True,True,False,False,False,21,True,False,False,False,Barajas
301,95,2,154500,1626,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
302,61,3,100000,1639,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
303,42,4,95900,2283,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
304,85,3,154900,1822,False,False,False,True,False,False,False,True,21,True,False,False,False,Barajas
305,80,2,115000,1438,False,False,False,True,False,True,True,False,21,True,False,False,False,Barajas
306,55,2,96000,1745,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
308,60,2,95000,1583,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
309,55,3,78000,1418,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
310,93,3,128500,1382,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
311,55,2,95000,1727,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
312,82,3,83900,1023,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
313,53,2,96000,1811,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
314,69,2,118600,1719,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
315,58,2,118000,2034,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
